date;q;k;etat_trafic;nb_mesures
2017-01-01;668.26;4.43;FLUIDE;75026
2017-01-02;708.71;4.9;FLUIDE;78288
2017-01-03;776.47;5.8;FLUIDE;78288
2017-01-04;796.52;6.24;FLUIDE;78288
2017-01-05;702.7750000000001;5.275;FLUIDE;78288
2017-01-06;852.76;7.19;FLUIDE;78288
2017-01-07;755.46;5.94;FLUIDE;78288
2017-01-08;709.78;4.86;FLUIDE;78288
2017-01-09;789.31;6.36;FLUIDE;78288
2017-01-10;813.05;7.25;FLUIDE;78288
2017-01-11;811.01;7.32;FLUIDE;78288
2017-01-12;772.0250000000001;6.460000000000001;FLUIDE;78288
2017-01-13;846.38;7.65;FLUIDE;78279
2017-01-14;780.77;5.96;FLUIDE;78264
2017-01-15;701.63;5.08;FLUIDE;78264
2017-01-16;783.14;6.19;FLUIDE;78264
2017-01-17;805.97;7.48;FLUIDE;78264
2017-01-18;836.29;7.67;FLUIDE;78264
2017-01-19;772.3050000000001;6.210000000000001;FLUIDE;78264
2017-01-20;873.32;8.01;FLUIDE;78264
2017-01-21;805.68;6.41;FLUIDE;78264
2017-01-22;745.16;5.42;FLUIDE;78264
2017-01-23;794.78;6.4;FLUIDE;78264
2017-01-24;813.05;6.92;FLUIDE;78264
2017-01-25;828.65;7.35;FLUIDE;78264
2017-01-26;760.8;6.24;FLUIDE;78264
2017-01-27;863.13;8.33;FLUIDE;78264
2017-01-28;803.25;6.46;FLUIDE;78264
2017-01-29;736.63;5.41;FLUIDE;78264
2017-01-30;787.07;7.03;FLUIDE;78264
2017-01-31;805.3;7.85;FLUIDE;78264
2017-02-01;743.865;5.79;FLUIDE;78264
2017-02-02;784.855;6.275;FLUIDE;78264
2017-02-03;862.1;8.07;FLUIDE;78264
2017-02-04;773.88;5.87;FLUIDE;78264
2017-02-05;710.33;4.92;FLUIDE;78264
2017-02-06;776.02;5.82;FLUIDE;78264
2017-02-07;787.52;7.04;FLUIDE;78264
2017-02-08;829.81;6.8;FLUIDE;78264
2017-02-09;793.985;5.67;FLUIDE;78264
2017-02-10;839.19;7.21;FLUIDE;78264
2017-02-11;762.99;5.79;FLUIDE;78264
2017-02-12;700.8;4.87;FLUIDE;78264
2017-02-13;779.22;6.01;FLUIDE;78264
2017-02-14;808.65;6.77;FLUIDE;78264
2017-02-15;836.65;7.45;FLUIDE;78264
2017-02-16;760.2950000000001;6.0;FLUIDE;78264
2017-02-17;848.6;7.14;FLUIDE;78264
2017-02-18;778.95;6.16;FLUIDE;78264
2017-02-19;731.42;5.15;FLUIDE;78264
2017-02-20;795.37;6.36;FLUIDE;78264
2017-02-21;828.48;7.48;FLUIDE;78264
2017-02-22;846.89;7.81;FLUIDE;78264
2017-02-23;776.005;6.305000000000001;FLUIDE;78264
2017-02-24;880.56;8.48;FLUIDE;78264
2017-02-25;818.79;6.75;FLUIDE;78264
2017-02-26;754.85;5.51;FLUIDE;78264
2017-02-27;794.54;7.15;FLUIDE;78264
2017-02-28;824.2;8.06;FLUIDE;78264
2017-03-01;747.22;6.555;FLUIDE;78264
2017-03-02;756.47;6.35;FLUIDE;78264
2017-03-03;880.21;8.31;FLUIDE;78264
2017-03-04;784.64;6.73;FLUIDE;78264
2017-03-05;714.16;5.53;FLUIDE;78264
2017-03-06;776.32;6.91;FLUIDE;78264
2017-03-07;797.65;7.48;FLUIDE;78264
2017-03-08;813.24;7.72;FLUIDE;78264
2017-03-09;817.22;6.33;FLUIDE;78264
2017-03-10;861.8;7.88;FLUIDE;78264
2017-03-11;796.3;6.09;FLUIDE;78264
2017-03-12;736.65;5.16;FLUIDE;78264
2017-03-13;799.56;6.56;FLUIDE;78264
2017-03-14;818.37;7.82;FLUIDE;78264
2017-03-15;835.52;7.27;FLUIDE;78264
2017-03-16;785.965;6.32;FLUIDE;78264
2017-03-17;873.85;8.03;FLUIDE;78264
2017-03-18;776.34;6.19;FLUIDE;78264
2017-03-19;727.97;5.37;FLUIDE;78264
2017-03-20;804.63;6.54;FLUIDE;78264
2017-03-21;824.73;7.5;FLUIDE;78264
2017-03-22;842.38;7.78;FLUIDE;78264
2017-03-23;768.52;6.484999999999999;FLUIDE;78264
2017-03-24;858.77;8.04;FLUIDE;78264
2017-03-25;810.17;6.38;FLUIDE;78264
2017-03-26;775.4;5.43;FLUIDE;78264
2017-03-27;818.98;6.88;FLUIDE;78264
2017-03-28;843.23;7.52;FLUIDE;78264
2017-03-29;862.02;7.87;FLUIDE;78264
2017-03-30;807.0799999999999;6.914999999999999;FLUIDE;78264
2017-03-31;886.23;8.19;FLUIDE;78264
2017-04-01;816.3;5.86;FLUIDE;78264
2017-04-02;756.56;5.23;FLUIDE;78264
2017-04-03;800.14;6.68;FLUIDE;78264
2017-04-04;818.44;7.04;FLUIDE;78264
2017-04-05;832.9;7.01;FLUIDE;78264
2017-04-06;795.19;5.98;FLUIDE;78264
2017-04-07;865.95;7.41;FLUIDE;78264
2017-04-08;793.46;5.93;FLUIDE;78264
2017-04-09;723.26;5.15;FLUIDE;78264
2017-04-10;793.65;5.88;FLUIDE;78264
2017-04-11;795.74;6.33;FLUIDE;78264
2017-04-12;818.85;6.66;FLUIDE;78264
2017-04-13;793.2;5.94;FLUIDE;78264
2017-04-14;831.08;7.07;FLUIDE;78264
2017-04-15;730.13;5.27;FLUIDE;78264
2017-04-16;675.2;4.66;FLUIDE;78264
2017-04-17;620.03;3.91;FLUIDE;78264
2017-04-18;812.24;6.87;FLUIDE;78264
2017-04-19;840.87;7.85;FLUIDE;78264
2017-04-20;794.0550000000001;6.65;FLUIDE;78264
2017-04-21;878.06;8.3;FLUIDE;78264
2017-04-22;799.13;6.26;FLUIDE;78264
2017-04-23;747.96;5.36;FLUIDE;78264
2017-04-24;815.94;7.02;FLUIDE;78264
2017-04-25;814.14;7.97;FLUIDE;78264
2017-04-26;813.59;8.36;FLUIDE;78264
2017-04-27;807.2650000000001;6.74;FLUIDE;78264
2017-04-28;857.54;8.88;FLUIDE;78264
2017-04-29;778.76;5.81;FLUIDE;78264
2017-04-30;704.98;4.95;FLUIDE;78264
2017-05-01;611.9300000000001;3.7800000000000002;FLUIDE;78264
2017-05-02;807.64;7.38;FLUIDE;78264
2017-05-03;799.37;8.09;FLUIDE;78264
2017-05-04;740.44;6.09;FLUIDE;78264
2017-05-05;867.51;8.23;FLUIDE;78264
2017-05-06;758.4;5.99;FLUIDE;78264
2017-05-07;708.16;5.02;FLUIDE;78264
2017-05-08;659.15;4.42;FLUIDE;78264
2017-05-09;808.28;7.82;FLUIDE;78264
2017-05-10;819.97;8.2;FLUIDE;78264
2017-05-11;770.315;6.625;FLUIDE;78264
2017-05-12;835.44;8.68;FLUIDE;78264
2017-05-13;799.57;6.27;FLUIDE;78264
2017-05-14;726.06;5.24;FLUIDE;78264
2017-05-15;815.77;7.16;FLUIDE;78264
2017-05-16;835.15;8.33;FLUIDE;78264
2017-05-17;860.37;8.58;FLUIDE;78264
2017-05-18;785.495;7.145;FLUIDE;78264
2017-05-19;856.92;9.0;FLUIDE;78264
2017-05-20;802.32;6.44;FLUIDE;78264
2017-05-21;756.16;5.39;FLUIDE;78264
2017-05-22;818.85;6.84;FLUIDE;78264
2017-05-23;841.51;7.96;FLUIDE;78264
2017-05-24;941.68;10.84;FLUIDE;78264
2017-05-25;759.885;5.1;FLUIDE;78264
2017-05-26;765.1;5.65;FLUIDE;78264
2017-05-27;694.21;4.53;FLUIDE;78264
2017-05-28;687.84;4.31;FLUIDE;78264
2017-05-29;823.48;6.98;FLUIDE;78276
2017-05-30;826.72;7.85;FLUIDE;78312
2017-05-31;823.26;7.03;FLUIDE;78312
2017-06-01;774.28;5.57;FLUIDE;78312
2017-06-02;858.22;8.01;FLUIDE;78312
2017-06-03;735.96;5.8;FLUIDE;78312
2017-06-04;676.96;4.57;FLUIDE;78312
2017-06-05;708.08;4.69;FLUIDE;78312
2017-06-06;814.22;8.62;FLUIDE;78312
2017-06-07;842.5;8.44;FLUIDE;78312
2017-06-08;811.4749999999999;6.88;FLUIDE;78312
2017-06-09;876.33;8.77;FLUIDE;78312
2017-06-10;802.74;6.06;FLUIDE;78312
2017-06-11;758.54;5.2;FLUIDE;78312
2017-06-12;827.37;7.55;FLUIDE;78312
2017-06-13;845.55;7.88;FLUIDE;78312
2017-06-14;862.18;8.13;FLUIDE;78312
2017-06-15;817.31;7.01;FLUIDE;78312
2017-06-16;885.48;8.93;FLUIDE;78312
2017-06-17;796.74;5.94;FLUIDE;78312
2017-06-18;762.33;5.2;FLUIDE;78312
2017-06-19;832.04;7.42;FLUIDE;78312
2017-06-20;834.72;8.34;FLUIDE;78312
2017-06-21;862.41;8.56;FLUIDE;78312
2017-06-22;847.99;7.105;FLUIDE;78312
2017-06-23;863.02;9.02;FLUIDE;78312
2017-06-24;762.24;6.19;FLUIDE;78312
2017-06-25;755.68;5.26;FLUIDE;78312
2017-06-26;842.94;7.42;FLUIDE;78312
2017-06-27;854.68;9.46;FLUIDE;75049
2017-06-28;849.52;9.21;FLUIDE;78318
2017-06-29;833.675;7.8149999999999995;FLUIDE;78336
2017-06-30;858.74;9.36;FLUIDE;78336
2017-07-01;801.495;6.125;FLUIDE;78336
2017-07-02;738.39;5.47;FLUIDE;78336
2017-07-03;830.82;7.43;FLUIDE;78336
2017-07-04;850.8;8.38;FLUIDE;78336
2017-07-05;859.81;8.73;FLUIDE;78336
2017-07-06;832.155;7.550000000000001;FLUIDE;78336
2017-07-07;870.29;8.27;FLUIDE;78207
2017-07-08;796.41;6.01;FLUIDE;78072
2017-07-09;731.49;5.23;FLUIDE;78072
2017-07-10;780.0;8.01;FLUIDE;78072
2017-07-11;795.63;7.58;FLUIDE;78072
2017-07-12;837.3;8.27;FLUIDE;78072
2017-07-13;798.95;6.654999999999999;FLUIDE;78072
2017-07-14;621.06;4.01;FLUIDE;78072
2017-07-15;700.66;4.83;FLUIDE;78072
2017-07-16;667.28;4.18;FLUIDE;78072
2017-07-17;790.91;6.95;FLUIDE;78072
2017-07-18;789.84;7.54;FLUIDE;78072
2017-07-19;794.69;7.41;FLUIDE;78072
2017-07-20;770.5799999999999;6.35;FLUIDE;78072
2017-07-21;824.43;7.36;FLUIDE;78072
2017-07-22;731.2;5.45;FLUIDE;78072
2017-07-23;644.74;4.61;FLUIDE;78072
2017-07-24;758.45;6.45;FLUIDE;78072
2017-07-25;775.71;7.0;FLUIDE;78072
2017-07-26;791.6;7.17;FLUIDE;78072
2017-07-27;746.3900000000001;5.545;FLUIDE;78072
2017-07-28;808.21;6.51;FLUIDE;78072
2017-07-29;704.2;4.86;FLUIDE;78072
2017-07-30;661.11;4.4;FLUIDE;78072
2017-07-31;728.21;5.42;FLUIDE;78072
2017-08-01;630.1;4.34;FLUIDE;78072
2017-08-02;723.73;5.61;FLUIDE;78072
2017-08-03;687.06;5.295;FLUIDE;78072
2017-08-04;721.4;5.39;FLUIDE;78072
2017-08-05;633.89;4.26;FLUIDE;78072
2017-08-06;557.47;3.66;FLUIDE;78072
2017-08-07;549.11;4.06;FLUIDE;78072
2017-08-08;623.12;4.59;FLUIDE;78072
2017-08-09;626.46;4.61;FLUIDE;78072
2017-08-10;575.835;4.025;FLUIDE;78072
2017-08-11;645.2;4.28;FLUIDE;78072
2017-08-12;565.85;3.62;FLUIDE;78072
2017-08-13;511.31;3.15;FLUIDE;78072
2017-08-14;583.58;3.55;FLUIDE;78072
2017-08-15;491.53;2.98;FLUIDE;78072
2017-08-16;636.93;4.01;FLUIDE;78072
2017-08-17;551.87;3.53;FLUIDE;78072
2017-08-18;641.84;4.29;FLUIDE;78072
2017-08-19;590.05;3.76;FLUIDE;78072
2017-08-20;561.76;3.38;FLUIDE;78072
2017-08-21;626.92;4.01;FLUIDE;78072
2017-08-22;667.03;4.5;FLUIDE;78072
2017-08-23;673.54;4.68;FLUIDE;78072
2017-08-24;666.0450000000001;4.39;FLUIDE;78072
2017-08-25;717.45;5.15;FLUIDE;78072
2017-08-26;674.95;4.22;FLUIDE;78072
2017-08-27;642.15;3.89;FLUIDE;78072
2017-08-28;750.62;5.24;FLUIDE;78072
2017-08-29;772.25;5.73;FLUIDE;78072
2017-08-30;782.24;6.54;FLUIDE;78072
2017-08-31;726.4;5.635;FLUIDE;78072
2017-09-01;764.8399999999999;5.325;FLUIDE;78072
2017-09-02;702.78;4.89;FLUIDE;78072
2017-09-03;666.45;4.41;FLUIDE;78072
2017-09-04;749.37;5.57;FLUIDE;78072
2017-09-05;789.0;6.62;FLUIDE;78072
2017-09-06;807.41;7.23;FLUIDE;78072
2017-09-07;740.9;5.905;FLUIDE;78072
2017-09-08;825.21;8.03;FLUIDE;78072
2017-09-09;745.77;5.94;FLUIDE;78072
2017-09-10;719.29;5.11;FLUIDE;78072
2017-09-11;779.36;7.02;FLUIDE;78072
2017-09-12;746.04;7.79;FLUIDE;78072
2017-09-13;786.02;8.6;FLUIDE;78072
2017-09-14;722.8199999999999;6.535;FLUIDE;78066
2017-09-15;829.34;8.51;FLUIDE;78048
2017-09-16;761.46;6.52;FLUIDE;78048
2017-09-17;805.94;6.82;FLUIDE;78048
2017-09-18;784.78;7.14;FLUIDE;78048
2017-09-19;799.62;7.71;FLUIDE;78048
2017-09-20;822.49;7.76;FLUIDE;78048
2017-09-21;775.385;6.265000000000001;FLUIDE;78048
2017-09-22;831.16;8.07;FLUIDE;78048
2017-09-23;740.66;6.19;FLUIDE;78048
2017-09-24;717.23;5.29;FLUIDE;78048
2017-09-25;780.11;6.84;FLUIDE;78048
2017-09-26;805.24;7.53;FLUIDE;78048
2017-09-27;823.92;8.01;FLUIDE;78048
2017-09-28;828.9749999999999;7.265000000000001;FLUIDE;78048
2017-09-29;853.37;8.46;FLUIDE;78048
2017-09-30;779.14;6.67;FLUIDE;78048
2017-10-01;733.615;5.62;FLUIDE;78048
2017-10-02;789.8;7.21;FLUIDE;78048
2017-10-03;825.42;8.71;FLUIDE;78048
2017-10-04;836.14;8.02;FLUIDE;78048
2017-10-05;762.615;6.515;FLUIDE;78048
2017-10-06;855.28;8.24;FLUIDE;78048
2017-10-07;792.92;6.68;FLUIDE;78048
2017-10-08;723.02;5.22;FLUIDE;78048
2017-10-09;796.53;7.03;FLUIDE;78048
2017-10-10;790.94;7.77;FLUIDE;78048
2017-10-11;829.84;7.9;FLUIDE;78048
2017-10-12;764.91;6.34;FLUIDE;78048
2017-10-13;867.28;8.17;FLUIDE;78048
2017-10-14;806.76;6.87;FLUIDE;78048
2017-10-15;764.52;6.03;FLUIDE;78048
2017-10-16;808.37;7.26;FLUIDE;78048
2017-10-17;827.73;8.08;FLUIDE;78048
2017-10-18;845.97;8.4;FLUIDE;78048
2017-10-19;785.5899999999999;7.0;FLUIDE;78048
2017-10-20;875.31;8.71;FLUIDE;78048
2017-10-21;800.99;6.86;FLUIDE;78048
2017-10-22;735.88;5.71;FLUIDE;78048
2017-10-23;782.94;7.45;FLUIDE;78048
2017-10-24;795.49;7.84;FLUIDE;78048
2017-10-25;816.56;8.13;FLUIDE;78048
2017-10-26;815.46;6.715;FLUIDE;78048
2017-10-27;852.87;8.32;FLUIDE;78048
2017-10-28;786.71;6.29;FLUIDE;78048
2017-10-29;703.87;5.23;FLUIDE;78048
2017-10-30;738.28;6.56;FLUIDE;78048
2017-10-31;794.15;7.92;FLUIDE;78048
2017-11-01;786.915;5.65;FLUIDE;78048
2017-11-02;697.185;5.58;FLUIDE;78048
2017-11-03;941.09;8.59;FLUIDE;78048
2017-11-04;758.22;5.98;FLUIDE;78048
2017-11-05;708.83;5.24;FLUIDE;78048
2017-11-06;764.36;6.23;FLUIDE;78048
2017-11-07;789.78;7.62;FLUIDE;78015
2017-11-08;827.34;7.97;FLUIDE;77976
2017-11-09;778.71;6.655;FLUIDE;77976
2017-11-10;851.89;8.76;FLUIDE;77976
2017-11-11;734.19;6.04;FLUIDE;77976
2017-11-12;719.28;5.49;FLUIDE;77976
2017-11-13;787.76;7.26;FLUIDE;77976
2017-11-14;820.01;7.8;FLUIDE;77976
2017-11-15;835.19;8.16;FLUIDE;77976
2017-11-16;776.865;6.46;FLUIDE;77976
2017-11-17;868.24;8.18;FLUIDE;77976
2017-11-18;793.09;6.76;FLUIDE;77976
2017-11-19;742.86;5.63;FLUIDE;77976
2017-11-20;788.46;6.73;FLUIDE;77976
2017-11-21;825.16;7.63;FLUIDE;77976
2017-11-22;824.09;8.33;FLUIDE;77976
2017-11-23;805.53;7.244999999999999;FLUIDE;77976
2017-11-24;845.18;8.51;FLUIDE;77976
2017-11-25;787.35;6.6;FLUIDE;77976
2017-11-26;739.62;5.51;FLUIDE;77976
2017-11-27;768.4;7.32;FLUIDE;77976
2017-11-28;798.83;7.86;FLUIDE;77976
2017-11-29;827.76;7.97;FLUIDE;77976
2017-11-30;799.905;6.865;FLUIDE;77976
2017-12-01;776.42;6.68;FLUIDE;77976
2017-12-02;788.12;7.03;FLUIDE;77976
2017-12-03;714.91;5.8;FLUIDE;77976
2017-12-04;781.12;7.03;FLUIDE;77976
2017-12-05;801.94;7.99;FLUIDE;77976
2017-12-06;815.95;8.45;FLUIDE;77976
2017-12-07;769.81;7.105;FLUIDE;77976
2017-12-08;841.12;9.09;FLUIDE;77976
2017-12-09;749.83;6.43;FLUIDE;77976
2017-12-10;726.06;5.89;FLUIDE;77976
2017-12-11;765.35;7.39;FLUIDE;77976
2017-12-12;805.41;8.45;FLUIDE;77976
2017-12-13;804.36;9.09;FLUIDE;77976
2017-12-14;782.72;6.994999999999999;FLUIDE;77976
2017-12-15;870.86;8.77;FLUIDE;77976
2017-12-16;811.77;6.92;FLUIDE;77976
2017-12-17;750.24;5.83;FLUIDE;77976
2017-12-18;788.19;7.21;FLUIDE;77976
2017-12-19;832.03;8.06;FLUIDE;77976
2017-12-20;837.12;8.94;FLUIDE;77976
2017-12-21;815.4300000000001;7.405;FLUIDE;77976
2017-12-22;854.26;8.45;FLUIDE;77976
2017-12-23;748.0;5.61;FLUIDE;77976
2017-12-24;610.15;4.08;FLUIDE;77976
2017-12-25;588.32;3.81;FLUIDE;77976
2017-12-26;693.34;5.47;FLUIDE;77976
2017-12-27;702.64;6.11;FLUIDE;77976
2017-12-28;674.6300000000001;5.05;FLUIDE;77976
2017-12-29;720.88;5.84;FLUIDE;77976
2017-12-30;683.95;5.13;FLUIDE;77976
2017-12-31;621.99;4.3;FLUIDE;77976
2018-01-01;644.135;4.615;FLUIDE;77976
2018-01-02;684.46;4.82;FLUIDE;77976
2018-01-03;727.31;5.75;FLUIDE;77976
2018-01-04;752.08;6.3;FLUIDE;77976
2018-01-05;781.96;6.19;FLUIDE;77976
2018-01-06;722.73;5.56;FLUIDE;77976
2018-01-07;670.5;4.5;FLUIDE;77976
2018-01-08;600.99;3.995;FLUIDE;77976
2018-01-09;770.02;6.3;FLUIDE;77976
2018-01-10;788.59;6.38;FLUIDE;77976
2018-01-11;815.52;6.72;FLUIDE;77976
2018-01-12;838.08;6.8;FLUIDE;77976
2018-01-13;763.51;5.53;FLUIDE;77976
2018-01-14;711.36;4.95;FLUIDE;77976
2018-01-15;625.985;4.535;FLUIDE;77976
2018-01-16;780.08;6.99;FLUIDE;77976
2018-01-17;797.78;7.34;FLUIDE;77976
2018-01-18;820.79;7.73;FLUIDE;77976
2018-01-19;841.66;7.7;FLUIDE;77976
2018-01-20;770.41;6.08;FLUIDE;77976
2018-01-21;714.39;5.26;FLUIDE;77976
2018-01-22;646.2049999999999;4.94;FLUIDE;77976
2018-01-23;800.83;7.04;FLUIDE;77976
2018-01-24;794.47;7.66;FLUIDE;77976
2018-01-25;805.42;7.99;FLUIDE;77976
2018-01-26;836.52;7.76;FLUIDE;77976
2018-01-27;769.22;6.01;FLUIDE;77976
2018-01-28;706.0;5.12;FLUIDE;77976
2018-01-29;630.915;4.48;FLUIDE;77976
2018-01-30;787.32;6.83;FLUIDE;77976
2018-01-31;783.4;7.59;FLUIDE;77976
2018-02-01;723.9300000000001;5.79;FLUIDE;77976
2018-02-02;836.19;7.34;FLUIDE;77976
2018-02-03;751.22;6.2;FLUIDE;77976
2018-02-04;703.0;5.07;FLUIDE;77976
2018-02-05;622.635;4.529999999999999;FLUIDE;77976
2018-02-06;649.42;6.83;FLUIDE;77983
2018-02-07;424.9;3.25;FLUIDE;78000
2018-02-08;650.73;5.52;FLUIDE;78000
2018-02-09;651.1;5.01;FLUIDE;78000
2018-02-10;697.03;5.69;FLUIDE;78000
2018-02-11;677.52;4.87;FLUIDE;78000
2018-02-12;620.88;5.115;FLUIDE;78000
2018-02-13;780.49;7.76;FLUIDE;78000
2018-02-14;795.42;8.61;FLUIDE;78000
2018-02-15;811.67;8.58;FLUIDE;78000
2018-02-16;843.08;7.73;FLUIDE;78000
2018-02-17;775.5;5.8;FLUIDE;78000
2018-02-18;712.2;5.0;FLUIDE;78000
2018-02-19;634.2;4.465;FLUIDE;78000
2018-02-20;767.31;6.28;FLUIDE;78000
2018-02-21;788.74;6.39;FLUIDE;78000
2018-02-22;794.53;6.59;FLUIDE;78000
2018-02-23;794.18;6.5;FLUIDE;78000
2018-02-24;750.22;5.32;FLUIDE;78000
2018-02-25;700.64;4.85;FLUIDE;78000
2018-02-26;720.115;4.91;FLUIDE;78000
2018-02-27;762.03;6.62;FLUIDE;78000
2018-02-28;776.41;7.23;FLUIDE;78000
2018-03-01;723.64;5.324999999999999;FLUIDE;78000
2018-03-02;793.21;7.46;FLUIDE;78000
2018-03-03;753.2;6.15;FLUIDE;78000
2018-03-04;680.23;5.22;FLUIDE;78000
2018-03-05;647.545;4.785;FLUIDE;78000
2018-03-06;808.68;7.57;FLUIDE;78000
2018-03-07;809.82;8.09;FLUIDE;78000
2018-03-08;827.51;8.19;FLUIDE;78000
2018-03-09;846.62;7.97;FLUIDE;78000
2018-03-10;783.56;6.24;FLUIDE;78000
2018-03-11;739.17;5.38;FLUIDE;78000
2018-03-12;646.355;4.725;FLUIDE;78000
2018-03-13;796.7;7.27;FLUIDE;78000
2018-03-14;818.58;7.59;FLUIDE;78000
2018-03-15;820.62;7.85;FLUIDE;78000
2018-03-16;836.75;8.08;FLUIDE;78000
2018-03-17;742.74;6.06;FLUIDE;78000
2018-03-18;692.39;4.82;FLUIDE;78000
2018-03-19;615.9100000000001;4.54;FLUIDE;78000
2018-03-20;790.95;7.47;FLUIDE;78000
2018-03-21;825.99;7.78;FLUIDE;78000
2018-03-22;810.2;7.47;FLUIDE;78000
2018-03-23;841.81;8.04;FLUIDE;78000
2018-03-24;789.73;6.09;FLUIDE;78000
2018-03-25;761.96;5.39;FLUIDE;78000
2018-03-26;674.9000000000001;4.8950000000000005;FLUIDE;78000
2018-03-27;777.44;7.71;FLUIDE;78000
2018-03-28;796.23;8.47;FLUIDE;78000
2018-03-29;850.97;8.27;FLUIDE;78000
2018-03-30;844.92;8.37;FLUIDE;78000
2018-03-31;764.84;5.64;FLUIDE;78000
2018-04-01;742.76;5.02;FLUIDE;78000
2018-04-02;668.1949999999999;4.18;FLUIDE;78000
2018-04-03;796.94;7.18;FLUIDE;78000
2018-04-04;806.27;7.65;FLUIDE;78000
2018-04-05;841.33;8.26;FLUIDE;78000
2018-04-06;864.77;8.3;FLUIDE;78000
2018-04-07;818.14;6.64;FLUIDE;78000
2018-04-08;740.71;5.79;FLUIDE;78000
2018-04-09;682.0899999999999;5.45;FLUIDE;78000
2018-04-10;821.72;7.84;FLUIDE;78000
2018-04-11;837.0;8.3;FLUIDE;78000
2018-04-12;848.04;8.68;FLUIDE;78000
2018-04-13;859.17;8.59;FLUIDE;78000
2018-04-14;789.26;6.4;FLUIDE;78000
2018-04-15;743.27;5.53;FLUIDE;78000
2018-04-16;741.12;5.275;FLUIDE;78000
2018-04-17;794.87;7.11;FLUIDE;78000
2018-04-18;817.4;7.18;FLUIDE;78000
2018-04-19;827.09;7.58;FLUIDE;78000
2018-04-20;847.61;7.4;FLUIDE;78000
2018-04-21;776.09;5.58;FLUIDE;78000
2018-04-22;732.99;4.83;FLUIDE;78000
2018-04-23;726.84;4.99;FLUIDE;78000
2018-04-24;784.1;7.5;FLUIDE;78000
2018-04-25;810.78;7.05;FLUIDE;78000
2018-04-26;823.26;7.55;FLUIDE;78000
2018-04-27;842.1;7.78;FLUIDE;78000
2018-04-28;767.58;5.73;FLUIDE;78000
2018-04-29;685.58;4.78;FLUIDE;78000
2018-04-30;667.8499999999999;4.805;FLUIDE;78000
2018-05-01;605.6600000000001;4.02;FLUIDE;78000
2018-05-02;817.46;7.72;FLUIDE;78000
2018-05-03;836.55;8.44;FLUIDE;78000
2018-05-04;853.45;8.45;FLUIDE;78000
2018-05-05;752.53;6.08;FLUIDE;78000
2018-05-06;721.65;4.8;FLUIDE;78000
2018-05-07;709.89;4.74;FLUIDE;78000
2018-05-08;675.16;4.43;FLUIDE;78000
2018-05-09;800.67;6.37;FLUIDE;78000
2018-05-10;669.48;4.43;FLUIDE;78000
2018-05-11;764.14;5.63;FLUIDE;78000
2018-05-12;713.89;5.07;FLUIDE;78000
2018-05-13;684.01;4.51;FLUIDE;78000
2018-05-14;685.995;5.235;FLUIDE;78000
2018-05-15;819.68;7.68;FLUIDE;78000
2018-05-16;827.98;7.87;FLUIDE;78000
2018-05-17;835.28;8.4;FLUIDE;78000
2018-05-18;848.56;8.76;FLUIDE;78000
2018-05-19;753.94;5.62;FLUIDE;78000
2018-05-20;680.07;4.51;FLUIDE;78000
2018-05-21;686.4000000000001;4.2;FLUIDE;78000
2018-05-22;771.57;8.75;FLUIDE;78000
2018-05-23;822.38;8.16;FLUIDE;78000
2018-05-24;842.16;8.43;FLUIDE;78000
2018-05-25;843.54;8.72;FLUIDE;78000
2018-05-26;753.47;6.1;FLUIDE;78000
